fecha_hora,temperatura,humedad,sonido,distancia
2025-06-07 20:37:30,80.0,67.9,52.4,59.0
2025-06-07 20:37:32,26.8,67.9,52.4,58.5
2025-06-07 20:37:34,26.8,67.9,52.4,58.9
2025-06-07 20:37:36,26.8,67.9,52.4,58.5
2025-06-07 20:37:38,26.8,67.9,52.4,58.1
2025-06-07 20:37:40,26.8,67.9,52.4,58.6
2025-06-07 20:37:42,26.8,67.8,52.4,58.5
2025-06-07 20:37:44,26.8,67.8,52.4,58.6
2025-06-07 20:37:47,26.8,67.8,52.4,58.9
2025-06-07 20:37:49,26.8,67.8,52.5,58.5
2025-06-07 20:37:51,26.8,67.8,52.4,58.6
2025-06-07 20:37:53,26.8,67.8,52.4,59.0
2025-06-07 20:37:55,26.8,67.8,52.4,58.5
2025-06-07 20:37:58,26.8,67.8,52.4,58.6
2025-06-07 20:38:00,26.8,67.8,52.4,59.0
2025-06-07 20:38:02,26.8,67.8,52.4,58.6
2025-06-07 20:38:04,26.8,67.8,52.4,58.5
2025-06-07 20:38:06,26.8,67.8,52.4,59.9
2025-06-07 20:38:08,26.8,67.8,52.4,59.4
2025-06-07 20:38:10,26.8,67.8,52.4,59.3
2025-06-07 20:38:12,26.8,67.8,52.4,59.4
2025-06-07 20:38:14,26.8,67.8,52.4,60.2
2025-06-07 20:38:17,26.8,67.8,52.4,58.9
2025-06-07 20:38:19,26.8,67.8,52.4,59.4
2025-06-07 20:38:21,26.8,67.9,52.4,59.8
2025-06-07 20:38:23,26.8,67.9,52.4,60.3
2025-06-07 20:38:25,26.8,67.9,52.4,59.3
2025-06-07 20:38:28,26.8,67.9,52.4,59.0
2025-06-07 20:38:30,26.8,67.9,52.4,58.9
2025-06-07 20:38:32,26.8,67.9,52.4,58.9
2025-06-07 20:38:35,26.8,67.9,52.4,59.4
2025-06-07 20:38:35,26.8,67.9,52.4,58.6
2025-06-07 20:38:35,26.8,67.9,52.4,58.6
2025-06-07 20:38:35,26.8,67.8,52.4,58.6
2025-06-07 20:38:35,26.8,67.8,52.4,59.0
2025-06-07 20:38:35,26.8,67.8,52.4,58.9
2025-06-07 20:38:35,26.8,67.9,52.4,59.3
2025-06-07 20:38:35,26.8,67.9,52.4,59.0
2025-06-07 20:38:35,26.8,67.9,52.4,58.6
2025-06-07 20:38:35,26.8,67.9,52.4,58.9
2025-06-07 20:38:35,26.8,67.9,52.4,59.4
2025-06-07 20:38:35,26.8,67.9,52.4,58.9
2025-06-07 20:38:35,26.8,68.0,52.4,58.9
2025-06-07 20:38:35,26.8,68.0,52.4,59.0
2025-06-07 20:38:35,26.8,68.0,52.4,58.5
2025-06-07 20:38:35,26.8,67.9,52.4,58.5
2025-06-07 20:38:35,26.8,67.9,52.4,58.6
2025-06-07 20:38:35,26.8,67.9,52.4,58.0
2025-06-07 20:38:35,26.8,67.9,52.4,58.1
2025-06-07 20:38:35,26.8,67.9,52.4,58.5
2025-06-07 20:38:35,26.8,67.9,52.4,59.0
2025-06-07 20:38:35,26.8,67.9,52.4,59.4
2025-06-07 20:38:35,26.8,67.9,52.4,58.9
2025-06-07 20:38:35,26.8,67.9,52.4,59.0
2025-06-07 20:38:35,26.8,67.9,52.4,59.0
2025-06-07 20:38:35,26.8,67.9,52.4,59.3
2025-06-07 20:38:35,26.8,67.9,52.4,59.4
2025-06-07 20:38:36,26.8,67.9,52.4,59.3
2025-06-07 20:38:36,26.8,67.9,52.4,59.3
2025-06-07 20:38:36,26.8,67.9,52.4,59.9
2025-06-07 20:38:36,26.8,67.9,52.4,59.3
2025-06-07 20:38:36,26.8,67.9,52.4,60.3
2025-06-07 20:38:36,26.8,67.9,52.4,60.2
2025-06-07 20:38:36,26.8,68.0,52.6,60.7
2025-06-07 20:38:36,26.8,68.0,52.4,64.3
2025-06-07 20:38:36,26.8,68.0,52.4,64.3
2025-06-07 20:38:36,26.8,68.0,52.4,61.0
